NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
SLF2,SLF2,null,null,0.05493069
EXO1,EXO1,null,null,0.05489159
EPHX1,EPHX1,null,null,0.05488602
DCTN6,DCTN6,null,null,0.054861054
RAP1A,RAP1A,null,null,0.05483232
SINHCAF,SINHCAF,null,null,0.05474514
CHCHD10,CHCHD10,null,null,0.054731917
PNO1,PNO1,null,null,0.05472481
GAR1,GAR1,null,null,0.054655973
PSMA2,PSMA2,null,null,0.054568253
MRPL13,MRPL13,null,null,0.05444391
AZIN1,AZIN1,null,null,0.05435953
TRIM23,TRIM23,null,null,0.054329567
EEF1AKMT1,EEF1AKMT1,null,null,0.054266453
LMBRD1,LMBRD1,null,null,0.054226737
BOD1,BOD1,null,null,0.05419281
RNF111,RNF111,null,null,0.05414755
CSTF3,CSTF3,null,null,0.05414582
COX6B1,COX6B1,null,null,0.054046474
ELMOD2,ELMOD2,null,null,0.054031424
BCLAF1,BCLAF1,null,null,0.05398232
ARL16,ARL16,null,null,0.05398012
ZNF91,ZNF91,null,null,0.053954676
FCF1,FCF1,null,null,0.053947836
KIF18A,KIF18A,null,null,0.053946007
NUDT14,NUDT14,null,null,0.0538781
HSPA13,HSPA13,null,null,0.05386695
MEA1,MEA1,null,null,0.05384474
PAXX,PAXX,null,null,0.053777594
ZNF14,ZNF14,null,null,0.053747315
RNF7,RNF7,null,null,0.05374524
IGF1R,IGF1R,null,null,0.053670812
MRPS21,MRPS21,null,null,0.053623572
UBE2Q2,UBE2Q2,null,null,0.05350824
BRMS1L,BRMS1L,null,null,0.053499885
NUTF2,NUTF2,null,null,0.053453576
CENPN,CENPN,null,null,0.053390633
NDUFA12,NDUFA12,null,null,0.05338815
MTFR1,MTFR1,null,null,0.05337292
MYBPC2,MYBPC2,null,null,0.053369347
ANKRD13C,ANKRD13C,null,null,0.053362995
TBC1D13,TBC1D13,null,null,0.053317282
HMGB3,HMGB3,null,null,0.05330272
BZW1,BZW1,null,null,0.0532895
NUDCD2,NUDCD2,null,null,0.053231623
TMEM68,TMEM68,null,null,0.053192623
CD320,CD320,null,null,0.05318633
ZNF337,ZNF337,null,null,0.053171996
COMMD6,COMMD6,null,null,0.053143673
SRFBP1,SRFBP1,null,null,0.0530733
