NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
TMEM206,TMEM206,null,null,0.08651835
P2RY11,P2RY11,null,null,0.086498775
ERF,ERF,null,null,0.08639113
CTSA,CTSA,null,null,0.08636895
ZNF185,ZNF185,null,null,0.08627174
KIAA1217,KIAA1217,null,null,0.08615716
MIB2,MIB2,null,null,0.086142644
TRERF1,TRERF1,null,null,0.08600699
RASSF3,RASSF3,null,null,0.08600561
TMEM121,TMEM121,null,null,0.08583753
PLBD1,PLBD1,null,null,0.085783534
PLA2G15,PLA2G15,null,null,0.08575141
SLC25A36,SLC25A36,null,null,0.08568133
FAM222B,FAM222B,null,null,0.085565165
CSRP1,CSRP1,null,null,0.08550375
IRAK1,IRAK1,null,null,0.085499845
SECISBP2,SECISBP2,null,null,0.08547895
CYP2U1,CYP2U1,null,null,0.085427
ATE1,ATE1,null,null,0.08522985
VPS36,VPS36,null,null,0.08511521
DESI2,DESI2,null,null,0.085053004
PCDHGC3,PCDHGC3,null,null,0.08501121
TM9SF3,TM9SF3,null,null,0.084786095
EI24,EI24,null,null,0.084706225
MIGA1,MIGA1,null,null,0.084533595
TPRN,TPRN,null,null,0.08448998
HIC2,HIC2,null,null,0.08444409
PI4K2A,PI4K2A,null,null,0.08442416
EEA1,EEA1,null,null,0.08430582
ATP5MF-PTCD1,ATP5MF-PTCD1,null,null,0.08428289
SLC35F2,SLC35F2,null,null,0.0841797
DOCK11,DOCK11,null,null,0.08416346
SHISA9,SHISA9,null,null,0.084131725
ABCA5,ABCA5,null,null,0.084060796
PCDHGA8,PCDHGA8,null,null,0.08405116
RPS25,RPS25,null,null,0.083937526
FOXN3,FOXN3,null,null,0.08392913
CERK,CERK,null,null,0.08392614
SMIM29,SMIM29,null,null,0.083887264
NFIL3,NFIL3,null,null,0.08388419
DNAJB12,DNAJB12,null,null,0.08377921
KTN1,KTN1,null,null,0.08376562
SPATA13,SPATA13,null,null,0.08373326
POLR2K,POLR2K,null,null,0.08371909
TOR1AIP1,TOR1AIP1,null,null,0.08369787
TECPR2,TECPR2,null,null,0.08360758
SLC35A3,SLC35A3,null,null,0.083308205
REPS1,REPS1,null,null,0.08330239
FBXO33,FBXO33,null,null,0.08317387
MYPOP,MYPOP,null,null,0.083123736
CPT1A,CPT1A,null,null,0.08311565
TSPAN13,TSPAN13,null,null,0.08310198
EXTL3,EXTL3,null,null,0.0830319
ENPP4,ENPP4,null,null,0.08301427
PCDHGA4,PCDHGA4,null,null,0.08276043
TAP1,TAP1,null,null,0.082751736
DVL3,DVL3,null,null,0.08261052
R3HCC1L,R3HCC1L,null,null,0.082607746
ZFYVE21,ZFYVE21,null,null,0.08259465
ZNF777,ZNF777,null,null,0.082588784
MDFIC,MDFIC,null,null,0.082588255
PWWP2A,PWWP2A,null,null,0.082580484
ZNF148,ZNF148,null,null,0.08254616
CCNY,CCNY,null,null,0.08229122
IPPK,IPPK,null,null,0.08223115
FBXW2,FBXW2,null,null,0.082213424
RHOG,RHOG,null,null,0.08220869
CD63,CD63,null,null,0.08208857
PRAG1,PRAG1,null,null,0.08184976
ZNF791,ZNF791,null,null,0.08181928
CPD,CPD,null,null,0.081819184
TRAF3,TRAF3,null,null,0.081736974
RPP40,RPP40,null,null,0.08173657
BAHD1,BAHD1,null,null,0.0817281
PCDHGA3,PCDHGA3,null,null,0.08168751
CSNK2A2,CSNK2A2,null,null,0.08160127
SSX2IP,SSX2IP,null,null,0.08156993
ZNF212,ZNF212,null,null,0.08153222
MGLL,MGLL,null,null,0.08142979
SLC9A6,SLC9A6,null,null,0.08131581
BCL2A1,BCL2A1,null,null,0.08128772
LAMTOR5,LAMTOR5,null,null,0.081252135
PCDHGA2,PCDHGA2,null,null,0.081228346
SPAST,SPAST,null,null,0.08116353
HLA-DOA,HLA-DOA,null,null,0.08113296
CAMK2G,CAMK2G,null,null,0.081057675
CAPRIN2,CAPRIN2,null,null,0.08104452
DPY19L3,DPY19L3,null,null,0.08102442
MAST2,MAST2,null,null,0.08086465
SYNGAP1,SYNGAP1,null,null,0.08083134
MICOS10,MICOS10,null,null,0.08068942
KRCC1,KRCC1,null,null,0.08067574
PPP4R1,PPP4R1,null,null,0.08065777
DPY19L4,DPY19L4,null,null,0.08056771
CPSF4,CPSF4,null,null,0.0805024
JOSD1,JOSD1,null,null,0.08043732
TSPYL2,TSPYL2,null,null,0.08043414
SETD3,SETD3,null,null,0.08040641
LZTS2,LZTS2,null,null,0.08039387
SMAP2,SMAP2,null,null,0.0803095
PCDHGB5,PCDHGB5,null,null,0.08023838
CIITA,CIITA,null,null,0.08020761
ANKRD28,ANKRD28,null,null,0.080193125
MED21,MED21,null,null,0.080087736
