"Name","ID","P_value","FDR","Significant","log2FC","U2932_WT_centered","U2932_MUT_centered"
"AMBRA1","Q9C0C7-5",0.505089854620011,0.909,FALSE,0.039,0.0195,-0.0195
"AMDHD2","Q9Y303",0.321262644034799,0.878,FALSE,-0.0872,-0.0436,0.0436
"AMPD3","Q01432-4",0.498170991460751,0.908,FALSE,-0.0991,-0.0496,0.0496
"ANAPC1","Q9H1A4",0.735324283068577,0.929,FALSE,0.0182,0.00908,-0.00908
"ANAPC10","Q9UM13",0.31252634567727,0.876,FALSE,0.0909,0.0455,-0.0455
"ANAPC16","Q96DE5",0.0497646327309181,0.578,FALSE,0.337,0.168,-0.168
"ANAPC2","Q9UJX6",0.401764936703812,0.895,FALSE,0.0452,0.0226,-0.0226
"ANAPC4","Q9UJX5-3",0.67417562219354,0.925,FALSE,0.0359,0.0179,-0.0179
"ANAPC7","Q9UJX3",0.118152904154159,0.762,FALSE,0.0961,0.0481,-0.0481
"ANKFY1","Q9P2R3-4",0.0934270771790128,0.721,FALSE,0.121,0.0606,-0.0606
"ANKHD1","Q8IWZ3-6",0.239872297061122,0.852,FALSE,0.0871,0.0436,-0.0436
"ANKHD1.1","D6RHC4",0.666320732039157,0.924,FALSE,0.0209,0.0104,-0.0104
"ANKLE1","M0QX15",0.123146832874673,0.769,FALSE,0.176,0.088,-0.088
"ANKLE2","Q86XL3",0.0356020309173975,0.484,FALSE,-0.125,-0.0623,0.0623
"ANKRD13A","Q8IZ07",0.664405134029404,0.924,FALSE,-0.0218,-0.0109,0.0109
"ANKRD16","Q6P6B7",0.0474165489285715,0.565,FALSE,-0.211,-0.106,0.106
"ANKRD17","O75179",0.157422842743896,0.804,FALSE,0.0746,0.0373,-0.0373
"ANKRD27","Q96NW4",0.029593284020425,0.429,FALSE,0.36,0.18,-0.18
"ANKRD28","O15084-1",0.33557613606409,0.882,FALSE,0.114,0.0572,-0.0572
"ANKRD39","Q53RE8",0.794757716807265,0.933,FALSE,0.0344,0.0172,-0.0172
"ANKRD44","Q8N8A2",0.694698779942257,0.926,FALSE,-0.0274,-0.0137,0.0137
"ANKRD49","Q8WVL7",0.266349846322775,0.862,FALSE,0.102,0.0508,-0.0508
"ANKS1A","Q92625",0.573190262217758,0.916,FALSE,-0.0425,-0.0212,0.0212
"ANKZF1","Q9H8Y5",0.950239558950922,0.94,FALSE,-0.00749,-0.00375,0.00375
"ANO6","Q4KMQ2-2",0.426892188751624,0.899,FALSE,-0.0548,-0.0274,0.0274
"ANP32A","P39687",0.703053112694971,0.927,FALSE,-0.0264,-0.0132,0.0132
"ANP32B","Q92688",0.721867789768214,0.928,FALSE,0.0323,0.0161,-0.0161
"ANP32D","O95626",0.233787287361796,0.85,FALSE,0.0913,0.0457,-0.0457
"ANP32E","Q9BTT0",0.737614220709271,0.929,FALSE,0.018,0.00902,-0.00902
"ANXA2","P07355-2",0.195244088590688,0.831,FALSE,0.288,0.144,-0.144
"ANXA4","Q6LES2",0.19165304031104,0.828,FALSE,0.124,0.0622,-0.0622
"ANXA5","P08758",0.263775152292839,0.861,FALSE,0.509,0.255,-0.255
"ANXA6","P08133",0.312830234151893,0.876,FALSE,-0.256,-0.128,0.128
"ANXA7","P20073",0.528192391302224,0.912,FALSE,0.147,0.0733,-0.0733
"AP1B1","Q10567",0.755067602453534,0.93,FALSE,-0.0138,-0.00689,0.00689
"AP1G2","O75843",0.13088117552341,0.778,FALSE,0.204,0.102,-0.102
"AP1GBP1","A0A024R0X0",0.0689789007403766,0.658,FALSE,0.124,0.0622,-0.0622
"AP1S1","H7C1E4",0.286753515724054,0.869,FALSE,0.0746,0.0373,-0.0373
"AP1S2","P56377",0.459036749047018,0.903,FALSE,0.0726,0.0363,-0.0363
"AP2A1","O95782",0.00730330655628921,0.103,FALSE,-0.226,-0.113,0.113
"AP2A2","O94973-2",0.143974450079104,0.792,FALSE,-0.0971,-0.0486,0.0486
"AP2M1","Q96CW1-2",0.0447965140546476,0.55,FALSE,-0.113,-0.0567,0.0567
"AP2S1","M0QYZ2",0.0611037269144879,0.63,FALSE,-0.181,-0.0906,0.0906
"AP3B1","H0YBD0",0.00959811595621411,0.145,FALSE,-0.178,-0.0888,0.0888
"AP3D1","O14617-5",0.00406198087563407,0.0459,FALSE,-0.271,-0.135,0.135
"AP3D1.1","Q6PK82",0.00568493451758249,0.0738,FALSE,-0.265,-0.132,0.132
"AP3M1","Q9Y2T2",0.0161234667858049,0.251,FALSE,-0.198,-0.0992,0.0992
