"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"APOA1BP","B4DP80",0.0111363195122039,0.465,FALSE,0.166,-0.0829,0.0829
"APOC3","B0YIW2",0.115237668078501,0.855,FALSE,0.202,-0.101,0.101
"APOE","P02649",0.617336802008294,0.927,FALSE,0.0231,-0.0116,0.0116
"APOO","Q9BUR5",0.501042840694916,0.921,FALSE,-0.0387,0.0193,-0.0193
"APPL1","Q9UKG1",0.684748684587648,0.93,FALSE,0.0266,-0.0133,0.0133
"APPL2","Q8NEU8-3",0.884522315673438,0.937,FALSE,0.00639,-0.0032,0.0032
"APRT","P07741",0.390778819648801,0.913,FALSE,-0.0417,0.0208,-0.0208
"APTX","Q7Z2E3",0.0101685157627017,0.437,FALSE,-0.152,0.0761,-0.0761
"ARAF","Q96II5",0.0282995936030585,0.693,FALSE,0.113,-0.0565,0.0565
"ARAP1","Q96P48",0.865508206159709,0.936,FALSE,0.0121,-0.00605,0.00605
"ARCN1","P48444",0.0371785585846983,0.738,FALSE,-0.134,0.0672,-0.0672
"ARF1","P84077",0.0580209189955851,0.796,FALSE,0.14,-0.0702,0.0702
"ARF4","P18085",0.0937240081520594,0.84,FALSE,0.19,-0.0948,0.0948
"ARF5","P84085",0.0357602839745387,0.733,FALSE,0.214,-0.107,0.107
"ARF6","P62330",0.21486858682376,0.889,FALSE,0.0663,-0.0332,0.0332
"ARFGAP1","Q8N6T3",0.322476878446138,0.906,FALSE,-0.0407,0.0204,-0.0204
"ARFGAP2","E9PN48",0.048935769893354,0.776,FALSE,-0.432,0.216,-0.216
"ARFGAP3","Q9NP61",0.0643664913286288,0.806,FALSE,-0.171,0.0856,-0.0856
"ARFGEF1","Q9Y6D6",0.0048104515311244,0.251,FALSE,0.203,-0.101,0.101
"ARFGEF2","Q9Y6D5",0.0703077942568033,0.815,FALSE,0.171,-0.0855,0.0855
"ARFIP1","P53367-2",0.918052935814647,0.938,FALSE,0.00427,-0.00214,0.00214
