Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,ctl_centered,ctl_1,ctl_2,sh_centered,sh_1,sh_2
TUBGCP3,Q96CW5,10426,0.023016220245806122,0.653,0.15,FALSE,Stable,-0.0749,11.4779920324518,11.543875124833741,0.0749,11.680155549942443,11.641232818058652
VAPA,Q9P0L0,9218,0.022995312373503995,0.653,0.251,FALSE,Stable,-0.126,13.054421993511239,12.88573737291731,0.126,13.179666666149267,13.26299710179674
ABCF2,Q9UG63,114483834,0.023111936144370376,0.654,-0.139,FALSE,Stable,0.0695,13.060171765792651,13.050229187212265,-0.0695,12.945934597816647,12.886593538484957
ABCF2,Q9UG63,10061,0.023111936144370376,0.654,-0.139,FALSE,Stable,0.0695,13.060171765792651,13.050229187212265,-0.0695,12.945934597816647,12.886593538484957
A8K454,A8K454,NA,0.023215972811509864,0.655,-0.174,FALSE,Stable,0.0872,10.515548401853122,10.414038646675118,-0.0872,10.27097790351578,10.309617221343617
Q59G75,Q59G75,NA,0.023297785988404648,0.655,-0.133,FALSE,Stable,0.0663,15.418919809233808,15.465600314494935,-0.0663,15.30144562265008,15.31771839509126
SACM1L,Q9NTJ5,22908,0.023249300755150627,0.655,0.151,FALSE,Stable,-0.0754,12.072417346714994,11.993808750849022,0.0754,12.18549280844815,12.182391566691548
SMYD3,Q9H7B4,64754,0.023232617078106484,0.655,0.123,FALSE,Stable,-0.0615,11.431386039716914,11.448982912002371,0.0615,11.55448855042581,11.57183766092158
RPA3,P35244,6119,0.02330943477739678,0.656,0.175,FALSE,Stable,-0.0876,12.79941389032318,12.902504474711991,0.0876,13.007469172151115,13.04473500688531
ACO1,P21399,48,0.023521453699644007,0.657,0.125,FALSE,Stable,-0.0627,13.356258477627925,13.388303749139196,0.0627,13.492828319358537,13.502337280752197
AMPD3,Q01432,272,0.023453469895659093,0.657,0.146,FALSE,Stable,-0.0728,11.293656078258703,11.229092420165186,0.0728,11.422280851650147,11.39147871870619
B2R9J4,B2R9J4,NA,0.02345154656485547,0.657,-0.131,FALSE,Stable,0.0657,9.711782476263089,9.756831085657955,-0.0657,9.595221103852548,9.610444378055778
B4DEH1,B4DEH1,NA,0.023533248550821964,0.657,0.146,FALSE,Stable,-0.073,9.684948368502054,9.705411795592743,0.073,9.806388163395212,9.87579520175604
IQCB1,Q15051,9657,0.0234541180300327,0.657,0.2,FALSE,Stable,-0.1,10.155908577315731,10.290359230762752,0.1,10.438708612486673,10.408018413679747
OXCT1,P55809,5019,0.02352109897180954,0.657,0.228,FALSE,Stable,-0.114,13.467828428106708,13.546861654843598,0.114,13.66202193492843,13.809228438625613
VPS13A,Q96RL7,23230,0.023483795890947255,0.657,0.127,FALSE,Stable,-0.0637,8.818899813970512,8.85400876460255,0.0637,8.971628951479435,8.955906029186542
A0A0B4J2A0,A0A0B4J2A0,NA,0.023622590966381404,0.658,-0.163,FALSE,Stable,0.0816,10.563576396587928,10.512585406006034,-0.0816,10.415562212227679,10.334312456508284
