ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name,entrezgene_id
ENSG00000117614,2129.802566,-0.042203303,0.060888274,-0.693126933,0.488229897,0.659398601,SYF2,25949
ENSG00000117616,403.8551235,-0.39250035,0.135528294,-2.896076817,0.003778599,0.012639998,RSRP1,57035
ENSG00000187010,6.521696279,-1.292875423,0.930534437,-1.389390194,0.16471413,0.302492833,RHD,6007
ENSG00000183726,3361.463964,-0.215783705,0.057908564,-3.726283162,1.94E-04,8.65E-04,TMEM50A,23585
ENSG00000188672,65.41116357,-0.042151008,0.282650205,-0.149127816,0.881452777,0.934649047,RHCE,6006
ENSG00000204178,1816.060644,0.038421895,0.069462382,0.553132414,0.580172743,0.73443706,MACO1,55219
ENSG00000157978,320.8656926,0.381736877,0.13367499,2.85570904,0.004294084,0.014117567,LDLRAP1,26119
ENSG00000117643,4.856970418,0.885252457,0.997638023,0.887348354,0.37489138,0.552028214,MAN1C1,57134
ENSG00000162430,421.6349779,-0.025177298,0.115469178,-0.218043448,0.827395259,0.902698787,SELENON,57190
ENSG00000117640,995.8381472,-0.073811096,0.080485448,-0.917073809,0.359103964,0.535736716,MTFR1L,56181
ENSG00000127423,483.5272106,-0.037380004,0.108934111,-0.343143239,0.731490704,0.843552964,AUNIP,79000
ENSG00000182749,202.4217851,-0.081257551,0.163481846,-0.497043265,0.619158542,0.763816423,PAQR7,164091
ENSG00000117632,14830.45431,-0.343894854,0.042637714,-8.065508663,7.29E-16,1.32E-14,STMN1,3925
ENSG00000158006,243.2898581,-0.068814376,0.144739407,-0.475436353,0.634475989,0.77552212,PAFAH2,5051
ENSG00000175087,923.1674974,0.500632411,0.083326219,6.008101831,1.88E-09,1.75E-08,PDIK1L,149420
ENSG00000142684,892.9048616,0.466996015,0.095773658,4.876038199,1.08E-06,7.09E-06,ZNF593,51042
ENSG00000142675,165.035021,-0.420263776,0.188067991,-2.234637446,0.02544116,0.066476571,CNKSR1,10256
ENSG00000130695,1151.051216,0.039581092,0.08305625,0.476557657,0.633677142,0.774875682,CEP85,64793
ENSG00000142669,4795.948524,-0.570063279,0.061158584,-9.321067283,1.15E-20,3.17E-19,SH3BGRL3,83442
ENSG00000158062,1807.377776,-0.342074598,0.078794706,-4.341339844,1.42E-05,7.74E-05,UBXN11,91544
ENSG00000169442,1001.464761,-0.002925426,0.103886759,-0.028159756,0.977534734,0.988954648,CD52,1043
ENSG00000176092,5.350248051,1.928321502,1.06434014,1.811753057,0.070024362,0.154906347,CRYBG2,55057
ENSG00000117682,1225.356519,-0.314499101,0.075700762,-4.154503746,3.26E-05,1.67E-04,DHDDS,79947
