,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,name,ensembl
ENSG00000170275,943.469034703004,-0.00797371840870948,0.161550853331533,-0.0493573277037781,0.96063453424688,0.989608025316966,CRTAP,ENSG00000170275
ENSG00000188342,1021.78820547626,-0.00587145433988192,0.119635132897289,-0.0490780107622964,0.96085712715581,0.989608025316966,GTF2F2,ENSG00000188342
ENSG00000128791,682.006161651743,-0.00860997160980536,0.17576108138922,-0.0489867924215756,0.960929821424043,0.989608025316966,TWSG1,ENSG00000128791
ENSG00000081760,1201.26548947708,0.0116919841138247,0.239693988133268,0.048778795850833,0.961095580514927,0.989608025316966,AACS,ENSG00000081760
ENSG00000081177,646.342992995568,0.00747457913156287,0.153495164027146,0.0486958607389152,0.961161674616066,0.989608025316966,EXD2,ENSG00000081177
ENSG00000103494,221.988946572363,0.00997186796746819,0.205213056503273,0.048592755925884,0.961243843080625,0.989608025316966,RPGRIP1L,ENSG00000103494
ENSG00000058272,1917.66301901742,0.00456761365039528,0.0940149229672747,0.0485839216396018,0.961250883505737,0.989608025316966,PPP1R12A,ENSG00000058272
ENSG00000230733,340.745005110751,0.00602822273781621,0.124212152962348,0.0485316661377209,0.961292528238736,0.989608025316966,AC092171.2,ENSG00000230733
ENSG00000125375,523.365609375344,0.00864848703252112,0.179124878716908,0.0482818863268532,0.961491590333494,0.989608025316966,ATP5S,ENSG00000125375
ENSG00000083720,2425.20618297469,0.00517737622905813,0.107437654069735,0.0481895874764507,0.961565148537955,0.989608025316966,OXCT1,ENSG00000083720
ENSG00000163611,628.705608349606,-0.0114662667930312,0.238425062972129,-0.0480917008056808,0.961643160351812,0.989608025316966,SPICE1,ENSG00000163611
ENSG00000138587,931.516861186975,-0.00983054924185177,0.204789592147051,-0.0480031682215219,0.961713717644067,0.989608025316966,MNS1,ENSG00000138587
ENSG00000164346,1376.37038388739,-0.00624912290435011,0.13026364727816,-0.0479728844917566,0.961737852758702,0.989608025316966,NSA2,ENSG00000164346
ENSG00000119688,840.751743806963,-0.00761301908098255,0.158887697171275,-0.0479144654779406,0.961784410847997,0.989608025316966,ABCD4,ENSG00000119688
ENSG00000164037,319.15620532565,0.00923713449788373,0.193069454078554,0.0478435832429785,0.961840901901701,0.989608025316966,SLC9B1,ENSG00000164037
ENSG00000103381,527.130562669582,0.00588326667866474,0.123159175520573,0.0477696172761564,0.961899850803133,0.989608025316966,CPPED1,ENSG00000103381
ENSG00000175893,881.85626896696,0.00956049908639022,0.200284319105694,0.0477346360867371,0.961927729950031,0.989608025316966,ZDHHC21,ENSG00000175893
ENSG00000259084,175.505703357879,-0.016283343412667,0.342406905674097,-0.0475555344907837,0.962070470241991,0.989608025316966,AL133467.3,ENSG00000259084
ENSG00000213465,1279.44242422528,-0.00988103696931108,0.207902737285939,-0.04752720958994,0.962093044717427,0.989608025316966,ARL2,ENSG00000213465
ENSG00000134419,7574.87337851046,-0.00488633336792367,0.103813348987883,-0.0470684494389446,0.962458673156115,0.989782982733297,RPS15A,ENSG00000134419
ENSG00000241357,251.216611079768,0.00713368727977942,0.151760751348868,0.0470061410237782,0.962508333111675,0.989782982733297,AC092849.2,ENSG00000241357
ENSG00000119862,238.298908768028,-0.0104069122483867,0.222367405558823,-0.0468005291613375,0.962672207287502,0.989782982733297,LGALSL,ENSG00000119862
ENSG00000165861,476.157810111446,-0.00574165994190678,0.122733926741365,-0.0467813594362225,0.962687485780738,0.989782982733297,ZFYVE1,ENSG00000165861
ENSG00000131061,224.836557985349,-0.00864314191979676,0.185014962787519,-0.0467159076734946,0.962739651697928,0.989782982733297,ZNF341,ENSG00000131061
ENSG00000146192,907.91012607424,-0.0120168247109065,0.257872930602396,-0.0465997911561905,0.962832198484353,0.989782982733297,FGD2,ENSG00000146192
ENSG00000042980,465.73372946277,-0.0140910850337614,0.303118074014643,-0.0464871158856752,0.962922003018865,0.989782982733297,ADAM28,ENSG00000042980
